pollster,startdate,enddate,source,samplesize,D_support,R_support,subpopulation,Rep_cand,Dem_cand,State_code,poll_URL,middate
"Quinnipiac U.
",2018-04-12,2018-04-17,electoral-vote,,44,47,,Cruz,O'Rourke,TX,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-04-14
"OH Predictive Insights
",2018-04-10,2018-04-11,electoral-vote,,48,42,,McSally,Sinema,AZ,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-04-10
"Monmouth U.
",2018-04-06,2018-04-10,electoral-vote,,53,32,,Hugin,Menendez,NJ,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-04-08
"Texas Lyceum
",2018-04-03,2018-04-09,electoral-vote,,30,30,,Cruz,O'Rourke,TX,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-04-06
"Mason Dixon
",2018-04-04,2018-04-06,electoral-vote,,45,44,,Hawley,McCaskill,MO,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-04-05
"Middle Tenn. State U.
",2018-03-22,2018-03-29,electoral-vote,,45,35,,Blackburn,Bredesen,TN,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-03-25
"PPP
",2018-03-15,2018-03-17,electoral-vote,,44,39,,Heller,Rosen,NV,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-03-16
"PPP
",2018-03-15,2018-03-16,electoral-vote,,46,41,,McSally,Sinema,AZ,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-03-15
"Quinnipiac U.
",2018-03-08,2018-03-12,electoral-vote,,49,32,,Hugin,Menendez,NJ,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-03-10
"Clearview Research
",2018-03-01,2018-03-07,electoral-vote,,41,43,,Scott,Nelson,FL,https://electoral-vote.com/evp2018/Info/datagalore.html,2018-03-04
Gravis,2018-02-21,2018-02-24,Real Clear Politics,385,43,40,Registered Voters,Cramer,Heitkamp,nd,https://www.realclearpolitics.com/docs/Gravis_North_Dakota_Senate_Feb_2018.pdf,2018-02-22
